0	73	4	65	91	3
1	4	3	65	81	3
2	3	2	22	81	3
3	73	23	144	91	3
4	23	19	150	62	3
5	23	20	108	62	3
6	22	18	166	62	3
7	73	22	227	91	3
8	22	17	212	62	3
9	73	30	306	91	3
10	30	31	311	62	3
11	30	29	268	62	3
12	73	48	377	91	3
13	48	47	330	62	3
14	48	46	371	62	3
15	72	71	459	92	3
16	73	72	400	119	3
17	78	72	459	141	3
18	53	78	400	203	3
19	39	53	344	169	3
20	54	39	333	191	3
21	34	73	300	141	3
22	35	73	219	141	3
23	12	35	187	191	3
24	36	34	291	191	3
25	27	35	229	191	3
26	26	34	252	191	3
27	21	73	143	141	3
28	7	21	141	182	3
29	5	6	100	201	3
30	6	21	87	182	3
31	6	0	37	182	3
32	0	21	50	168	3
33	0	1	34	152	3
34	24	25	228	252	3
35	38	28	251	252	3
36	24	13	190	252	3
37	38	41	292	252	3
38	16	24	215	301	3
39	32	38	304	301	3
40	76	78	439	221	3
41	52	76	400	320	3
42	55	76	400	285	3
43	37	55	344	278	3
44	37	40	331	253	3
45	16	32	240	322	3
46	75	76	400	406	3
47	76	87	474	395	3
48	76	83	474	326	3
49	76	82	474	253	3
50	74	75	385	424	3
51	49	74	385	429	3
52	75	50	385	388	3
53	50	51	385	371	3
54	45	51	335	371	3
55	49	43	335	429	3
56	49	42	361	429	3
57	44	51	360	371	3
58	70	76	434	431	3
59	68	70	429	461	3
60	66	68	428	542	3
61	69	68	400	502	3
62	67	69	287	542	3
63	14	69	240	499	3
64	14	15	180	461	3
65	64	15	120	431	3
66	15	16	180	341	3
67	57	66	336	591	3
68	56	66	404	591	3
69	58	67	305	591	3
70	59	67	223	591	3
71	65	8	135	587	3
72	8	14	141	542	3
73	61	8	90	572	3
74	62	14	120	523	3
75	11	62	56	486	3
76	63	11	38	511	3
77	9	10	37	571	3
78	60	9	27	587	3
79	60	61	69	587	3
80	78	77	520	185	3
81	77	105	686	188	3
82	105	97	735	141	3
83	97	95	761	73	3
84	97	96	688	73	3
85	104	129	814	141	3
86	129	116	799	73	3
87	129	115	888	73	3
88	105	104	780	188	3
89	81	77	559	221	3
90	80	77	669	221	3
91	81	90	579	279	3
92	81	93	579	258	3
93	81	88	579	235	3
94	79	80	652	279	3
95	92	80	652	259	3
96	91	80	652	234	3
97	89	77	613	221	3
98	108	104	988	222	3
99	109	104	860	222	3
100	126	128	1043	141	3
101	104	126	1020	177	3
102	126	131	1070	188	3
103	131	148	1110	141	3
104	131	132	1083	73	3
105	133	147	1120	234	3
106	128	114	987	73	3
107	128	130	1050	73	3
108	107	109	825	300	3
109	106	108	976	300	3
110	111	109	884	300	3
111	110	108	913	300	3
112	125	117	1047	285	3
113	127	126	1045	210	3
114	127	133	1070	236	3
115	117	127	1047	261	3
116	117	134	1070	274	3
117	134	133	1094	261	3
118	135	134	1094	285	3
119	85	105	735	222	3
120	86	85	686	392	3
121	84	85	686	326	3
122	118	122	799	461	3
123	122	101	796	380	3
124	122	100	824	380	3
125	118	121	864	461	3
126	121	124	885	380	3
127	121	123	945	380	3
128	119	135	1070	445	3
129	118	120	979	461	3
130	120	99	975	380	3
131	120	98	1005	380	3
132	94	85	739	431	3
133	135	145	1120	420	3
134	145	146	1175	418	3
135	145	144	1175	448	3
136	143	142	1180	542	3
137	136	142	1120	502	3
138	135	136	1095	461	3
139	118	136	1070	504	3
140	94	118	780	510	3
141	141	136	1096	542	3
142	138	141	1033	591	3
143	137	141	1091	591	3
144	140	112	1006	591	3
145	139	112	929	591	3
146	112	118	918	542	3
147	102	113	796	591	3
148	103	113	713	591	3
149	113	118	816	542	3
