0	0	21	152	50	182	3
1	0	15	116	50	152	3
2	0	9	81	50	116	3
3	0	0	31	80	81	3
4	0	50	81	80	91	3
5	0	30	201	120	261	3
6	0	26	182	120	201	3
7	0	120	182	160	301	3
8	0	90	542	160	587	3
9	0	8	571	56	587	3
10	0	11	542	56	571	3
11	0	21	461	56	511	3
12	0	160	191	216	221	3
13	0	160	221	216	252	3
14	1	120	461	240	542	3
15	1	120	341	240	461	3
16	1	120	301	240	341	3
17	0	184	31	240	62	3
18	0	160	31	184	62	3
19	0	136	31	160	62	3
20	0	80	31	136	62	3
21	0	50	141	160	182	3
22	0	160	62	240	91	3
23	0	80	62	160	91	3
24	0	160	252	240	301	3
25	0	216	221	240	252	3
26	0	240	191	264	221	3
27	0	216	191	240	221	3
28	0	240	221	264	252	3
29	0	240	31	296	62	3
30	0	240	62	320	91	3
31	0	296	31	320	62	3
32	1	240	301	320	341	3
33	0	240	341	320	461	3
34	0	240	141	320	191	3
35	0	160	141	240	191	3
36	0	264	191	320	221	3
37	0	320	253	344	301	3
38	0	240	252	320	301	3
39	0	320	141	344	191	3
40	0	320	221	344	253	3
41	0	264	221	320	253	3
42	0	344	401	370	429	3
43	0	320	401	344	429	3
44	0	344	371	370	401	3
45	0	320	371	344	401	3
46	0	344	31	400	62	3
47	0	320	31	344	62	3
48	0	320	62	400	91	3
49	0	320	429	400	461	3
50	0	370	371	400	388	3
51	0	320	341	400	371	3
52	0	320	301	400	341	3
53	0	344	141	400	221	3
54	0	320	191	344	221	3
55	0	344	221	400	301	3
56	0	350	591	460	632	3
57	0	320	591	350	632	3
58	0	291	591	320	632	3
59	0	160	591	291	632	3
60	0	0	587	81	632	3
61	0	56	542	90	587	3
62	0	56	461	120	542	3
63	0	16	511	56	542	3
64	2	30	401	120	461	3
65	0	81	587	160	632	3
66	0	320	542	460	591	3
67	0	160	542	320	591	3
68	1	400	461	460	542	3
69	1	240	461	400	542	3
70	1	400	431	460	461	3
71	1	400	31	520	92	3
72	1	400	92	520	141	3
73	1	50	91	400	141	3
74	0	370	424	400	429	3
75	1	370	388	400	424	3
76	1	400	221	474	431	3
77	1	520	141	686	221	3
78	1	400	141	520	221	3
79	0	618	271	652	291	3
80	0	652	221	686	291	3
81	0	541	221	579	291	3
82	2	474	221	541	291	3
83	3	474	291	541	359	3
84	3	618	291	686	361	3
85	1	686	222	780	431	3
86	3	618	361	686	431	3
87	3	474	359	541	431	3
88	0	579	221	608	244	3
89	0	608	221	618	291	3
90	0	579	271	608	291	3
91	0	618	221	652	244	3
92	0	618	244	652	271	3
93	0	579	244	608	271	3
94	1	700	431	780	542	3
95	0	740	31	780	73	3
96	0	640	31	740	73	3
97	0	640	73	780	141	3
98	0	990	340	1020	380	3
99	0	960	340	990	380	3
100	0	811	340	840	380	3
101	0	780	340	811	380	3
102	0	730	591	870	632	3
103	0	700	591	730	632	3
104	1	780	141	1020	222	3
105	1	686	141	780	222	3
106	0	930	300	1020	340	3
107	0	780	300	871	340	3
108	0	900	222	1020	300	3
109	0	780	222	900	300	3
110	0	900	300	930	340	3
111	0	871	300	900	340	3
112	0	870	542	1020	591	3
113	0	700	542	870	591	3
114	0	950	31	1030	73	3
115	0	820	31	950	73	3
116	0	780	31	820	73	3
117	1	1020	261	1070	285	3
118	1	780	461	1070	542	3
119	0	1020	361	1070	461	3
120	0	960	380	1020	461	3
121	0	840	380	960	461	3
122	0	780	380	840	461	3
123	0	930	340	960	380	3
124	0	840	340	930	380	3
125	2	1020	285	1070	361	3
126	1	1020	141	1070	210	3
127	1	1020	210	1070	261	3
128	0	950	73	1070	141	3
129	0	780	73	950	141	3
130	0	1030	31	1070	73	3
131	0	1070	73	1110	210	3
132	0	1070	31	1110	73	3
133	1	1070	210	1120	261	3
134	1	1070	261	1120	284	3
135	1	1070	285	1120	461	3
136	1	1070	461	1120	542	3
137	0	1050	591	1135	632	3
138	0	1020	591	1050	632	3
139	0	870	591	991	632	3
140	0	991	591	1020	632	3
141	0	1020	542	1135	591	3
142	1	1120	461	1200	542	3
143	2	1135	542	1200	632	3
144	0	1175	432	1200	461	3
145	0	1120	401	1175	461	3
146	0	1175	401	1200	432	3
147	1	1120	210	1200	261	3
148	0	1110	31	1200	210	3
